,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
126,-1.183284700369116,-0.6759868421052633,-0.8273453385033067,-0.71943382924551,-1.009397024275646,-1.0013774104683195,,-1.5839136596336902
127,-1.05244654811674,-0.5279605263157896,-0.6832470860539113,-0.5785039278950228,-0.5375880971025842,-0.5743801652892562,-1.4176502321478255,-1.3321367626049065
128,-0.9464816779106622,-0.45394736842105265,-0.4244352442158781,-0.6555921994037539,-0.8645262333594361,-0.9118457300275482,-1.5288515917489518,-1.340595879089363
129,-0.8302076925623763,-0.3470394736842104,-0.29747167175182265,-0.3331528908621022,-0.5982772122161317,-0.6088154269972452,-1.378376400365204,-1.1585545568919866
130,-0.9089034513957337,-0.14144736842105265,-0.42037626263215766,-0.5220029999166123,-0.7705559906029757,-0.7465564738292012,-1.4004298181418937,-1.244148704227995
131,-0.7797174636040309,-0.28125,0.013727586601333996,-0.8103597672320291,-0.9819890368050117,-1.0702479338842976,-1.5635669709510827,-1.5621319077911642
132,-0.5166600805993209,-0.37993421052631593,-0.37312163405085763,-0.7682598993970025,,-0.643250688705234,-1.5038103905207423,-1.4805875388168417
133,-0.3331790170251627,-0.042763157894736725,-0.15619229593039674,-0.5409940613944109,,-0.2920110192837466,-1.087959399101281,-1.572180656903572
134,-0.12847362371104243,0.12171052631578938,0.08646538281069427,-0.3096022071200928,,-0.2713498622589532,-1.1806492072903871,-1.535609738982701
135,0.16957132684148535,0.20394736842105265,0.2344037061332349,-0.13748406141368763,,-0.4366391184573004,-1.1243954531402123,-1.668684698979785
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,-0.5591229444009398,-1.7451790633608815,,
171,,,,,-0.6844166014095536,-1.6487603305785123,,
172,,,,,-0.7255285826155051,-1.59366391184573,,
173,,,,,-0.8390759592795614,-1.4834710743801653,,
174,,,,,-0.9526233359436178,-1.4696969696969697,,
175,,,,,-0.8762725137039937,-1.331955922865014,,
176,,,,,-0.8038371182458888,-1.2355371900826446,,
177,-1.2265138704399832,-0.48684210526315796,-0.7636855669501437,-0.5941615768513782,-0.36335160532498034,-1.0013774104683195,,-1.6196898558615753
178,-1.1292345930758645,-0.6184210526315788,-0.8198547228920725,-0.5941809089869625,-0.5199686765857479,-0.8292011019283747,-0.19894183293108814,-1.5408516471943607
179,-0.9851835450178954,-0.33881578947368407,-0.699162028942202,-0.48582290817082585,-0.15387627251370395,-0.05096418732782371,0.17086190957257497,-1.3643172666009593
180,-0.8615054038253978,-0.14144736842105265,-0.2670979127905484,-0.15067133961575063,0.13586530931871588,0.16253443526170797,0.5,-1.2616630494323893
181,-0.8498136163477905,-0.37993421052631593,-0.6568797841123699,-0.5910532456228081,0.01644479248238051,0.30716253443526176,0.14312253562683308,-1.4230106665484787
182,-0.9350853460037267,-0.3141447368421053,-0.9364154844749062,-0.5489754716570208,-0.42795614722004705,0.2727272727272725,-1.6924698565031244,-1.4825367312058775
183,-0.6645145088849227,0.06414473684210531,-0.7549256368895187,-0.6858097219973174,,0.36225895316804424,-1.6640219548825763,-1.5729376248216442
184,-0.47866672691989676,0.1875,-0.6900344269336627,-0.15331847513262375,,0.4173553719008263,-1.5872671758352903,-1.4830003740556967
185,-0.18019572674235151,0.36019736842105265,-0.4334665511904401,-0.2400244702858143,,0.5,-1.6088741631153145,-1.4631583525032306
186,-0.04981476417717934,0.2532894736842106,-0.23982307392423863,0.024262393551806927,,0.29338842975206614,-1.6208348398148877,-1.5275384739352669
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,-1.4009397024275647,-1.6556473829201102,,
222,,,,,-1.0231010180109632,-1.5041322314049586,,
223,,,,,-0.7764291307752544,-1.421487603305785,,
224,,,,,-0.467110415035239,-1.256198347107438,,
225,,,,,-0.33985904463586536,-1.1942148760330578,,
226,,,,,-0.28700078308535626,-1.1942148760330578,,
227,,,,,-0.11669929522317934,-0.8636363636363638,,
228,-1.247336928668926,-1.3667763157894737,-1.1992746649516424,-1.0753232420064283,0.3218480814408773,-0.3746556473829201,,-0.6721175106398465
229,-0.9871697452424144,-1.317434210526316,-1.0171778376687497,-1.0690555012853413,0.3825371965544244,-0.11983471074380159,-0.7037069706455814,-0.6607819160667159
230,-0.7307157296182196,-1.1529605263157894,-0.9402381347009952,-0.874984334756276,0.5,-0.09228650137741035,-0.3729041170871086,-0.6278348874326256
231,-0.4565139612484228,-0.8980263157894737,-0.3956050654689509,-0.6014553154339226,0.4960845732184809,-0.05096418732782371,-0.24570254716489837,-0.551144480611951
232,-0.4704828574024629,-0.881578947368421,-0.5033387822705084,-0.6032034928374632,0.3022709475332812,-0.030303030303030276,-0.9099224602589897,-0.8296803827865646
233,-0.8468431825577507,-0.881578947368421,-0.8705730254849184,-0.7701737808198361,-0.09710258418167572,-0.15426997245179064,-1.3428516926548641,-1.0845324619825163
234,-0.18463449147756084,-0.75,-0.19442142441948684,-0.21388051864187063,,-0.47107438016528924,-0.5886959592937819,-0.9187187341498015
235,0.04707100994949798,-0.42105263157894735,-0.07564584787485606,-0.010518893906449556,,0.2520661157024793,-0.5041194923466308,-0.6395773522617199
236,0.22068522762595233,-0.4292763157894737,0.3428698779796018,0.24750851441104915,,0.3553719008264462,-1.080200383350255,-0.960597984217143
237,0.5,-0.46217105263157876,0.5,0.5,,-0.030303030303030276,-1.1165470665832704,-1.1422607278344938
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,-1.3637431480031323,-1.600550964187328,,
256,,,,,-1.1895066562255285,-1.4283746556473829,,
257,,,,,-1.1699295223179327,-1.325068870523416,,
258,,,,,-1.0955364134690682,-1.2699724517906334,,
259,,,,,-1.0152701644479247,-1.2079889807162534,,
260,,,,,-1.0700861393891934,-1.2079889807162534,,
261,,,,,-1.0818324197337508,-1.1735537190082646,,
262,-1.7374068383094394,-1.5394736842105263,-1.5914522399975721,-1.5409722492220044,-1.005481597494127,-1.0151515151515151,,-1.5914076420226047
263,-1.5830728729422243,-1.5230263157894737,-1.3722759885706548,-1.397660380211518,-0.9624119028974158,-0.8567493112947657,-1.8046548257257597,-1.6091869259983242
264,-1.4470159811067014,-1.4983552631578947,-1.1871210644511416,-1.160681524944705,-0.8214565387627251,-0.6845730027548209,-1.785754910715627,-1.5266774229284599
265,-1.3430942271226751,-1.432565789473684,-1.1317572559767117,-1.160707761414426,-0.7803445575567738,-0.5606060606060606,-1.7382484032718022,-1.4820258724821684
266,-1.3235529340340708,-1.4161184210526314,-1.2155222634118554,-1.2956667807943894,-0.6824588880187941,-0.4435261707988982,-1.8109168402688764,-1.521369185402979
267,-1.2982624488191312,-0.881578947368421,-1.3274433551757705,-1.3575972771382987,-0.933046202036022,-0.5812672176308542,-1.86824062619961,-1.6122431839675406
